article_number,generated_headline
0,Daniel Greenfield the Freedom Center New York Islam Hillary Rodham Clinton FBI FBI Hillary an hour CNN
1,Google two Paul Ryan Paul Ryan Today Paul Ryan the Trump Train a few weeks ago Trump Trump
2,U.S. State John F. Kerry Monday Paris later this week American Sunday Kerry Paris
3,"Kaydee King November 9 , 2016 tonight Dem Democrats Bernie November 9 , 2016 Dems Bernie WalkerBragman"
4,New York Hillary Clinton Donald Trump Trump Republican Ted Cruz Bernie Sanders Ohio John Kasich New York
5,More than 50 years ago New York City Iran New Jersey American the Raritan Red Sox the Raritan Rovers 1985 Iranians Ayatollah Khomeini
6,Baylee FaceTime Baylee Luciani Austin 200-mile Baylee Yale Gerstein Yale Austin Community College 19-year-old
7,Czech more than 650 Jewish Nazi Germany the age of 106 Britain Nicholas Winton Jewish Prague
8,Hillary Clinton Donald Trump NBC â€¢ Clinton Trump Iraq Trump Obama Iraq Obama
9,Iranian U.S. five Iran the final days The New York Times late Sunday Tehran Russia just two days
